link_id,from_node_id,to_node_id,length,geometry
922,285,299,201.6831092,"LINESTRING (-109.749121 34.3510253, -109.7469241 34.3510153)"
923,299,285,201.6831092,"LINESTRING (-109.7469241 34.3510153, -109.749121 34.3510253)"
924,299,379,192.9749662,"LINESTRING (-109.7469241 34.3510153, -109.7448275 34.3509885)"
925,379,299,192.9749662,"LINESTRING (-109.7448275 34.3509885, -109.7469241 34.3510153)"
926,379,278,225.7562276,"LINESTRING (-109.7448275 34.3509885, -109.7424657 34.3504229)"
927,278,379,225.7562276,"LINESTRING (-109.7424657 34.3504229, -109.7448275 34.3509885)"
928,667,197,195.9357157,"LINESTRING (-109.7355752 34.351867, -109.737674 34.3518954)"
929,197,667,195.9357157,"LINESTRING (-109.737674 34.3518954, -109.7355752 34.351867)"
930,197,166,454.9148629,"LINESTRING (-109.737674 34.3518954, -109.7426293 34.351926)"
931,166,197,454.9148629,"LINESTRING (-109.7426293 34.351926, -109.737674 34.3518954)"
932,380,381,-8200.0,"LINESTRING (-109.922531 34.231755, -109.941005 34.258547)"
933,381,380,8300.0,"LINESTRING (-109.941005 34.258547, -109.922531 34.231755)"
934,382,383,4605.378664,"LINESTRING (-109.867848 34.281785, -109.907612 34.301169)"
935,383,382,4605.378664,"LINESTRING (-109.907612 34.301169, -109.867848 34.281785)"
936,383,384,3580.600305,"LINESTRING (-109.907612 34.301169, -109.9456226 34.3011075)"
937,384,383,3580.600305,"LINESTRING (-109.9456226 34.3011075, -109.907612 34.301169)"
938,384,385,81.77017397,"LINESTRING (-109.9456226 34.3011075, -109.946368 34.301173)"
939,385,384,81.77017397,"LINESTRING (-109.946368 34.301173, -109.9456226 34.3011075)"
940,386,387,3115.661822,"LINESTRING (-109.917998 34.245432, -109.920893 34.27119)"
941,387,386,3115.661822,"LINESTRING (-109.920893 34.27119, -109.917998 34.245432)"
942,389,390,253.0609574,"LINESTRING (-109.851431 34.281493, -109.8525723 34.2832347)"
943,390,389,253.0609574,"LINESTRING (-109.8525723 34.2832347, -109.851431 34.281493)"
944,391,392,935.3572136,"LINESTRING (-109.895027 34.23927, -109.885787 34.240915)"
945,392,391,935.3572136,"LINESTRING (-109.885787 34.240915, -109.895027 34.23927)"
946,392,393,5697.252576,"LINESTRING (-109.885787 34.240915, -109.918143 34.27144)"
947,393,392,5697.252576,"LINESTRING (-109.918143 34.27144, -109.885787 34.240915)"
948,393,394,23.97486857,"LINESTRING (-109.918143 34.27144, -109.918216 34.271647)"
949,394,393,23.97486857,"LINESTRING (-109.918216 34.271647, -109.918143 34.27144)"
950,395,393,46.38754861,"LINESTRING (-109.918617 34.271578, -109.918143 34.27144)"
951,393,395,46.38754861,"LINESTRING (-109.918143 34.27144, -109.918617 34.271578)"
952,396,397,2314.764616,"LINESTRING (-109.860087 34.222342, -109.877378 34.237063)"
953,397,396,2314.764616,"LINESTRING (-109.877378 34.237063, -109.860087 34.222342)"
954,398,399,203.1441253,"LINESTRING (-109.9371651 34.3048702, -109.9370857 34.3066945)"
955,399,398,203.1441253,"LINESTRING (-109.9370857 34.3066945, -109.9371651 34.3048702)"
956,399,400,202.2636725,"LINESTRING (-109.9370857 34.3066945, -109.9370835 34.3085135)"
957,400,399,202.2636725,"LINESTRING (-109.9370835 34.3085135, -109.9370857 34.3066945)"
958,400,401,405.7075979,"LINESTRING (-109.9370835 34.3085135, -109.936812 34.312144)"
959,401,400,405.7075979,"LINESTRING (-109.936812 34.312144, -109.9370835 34.3085135)"
960,402,403,57.35081776,"LINESTRING (-109.941283 34.315899, -109.941729 34.31626)"
961,403,402,57.35081776,"LINESTRING (-109.941729 34.31626, -109.941283 34.315899)"
962,404,405,548.2023942,"LINESTRING (-109.916493 34.319219, -109.912843 34.321125)"
963,405,404,548.2023942,"LINESTRING (-109.912843 34.321125, -109.916493 34.319219)"
964,406,395,458.5165763,"LINESTRING (-109.918809 34.275697, -109.918617 34.271578)"
965,395,406,458.5165763,"LINESTRING (-109.918617 34.271578, -109.918809 34.275697)"
966,383,407,1572.46143,"LINESTRING (-109.907612 34.301169, -109.914231 34.314025)"
967,407,383,1572.46143,"LINESTRING (-109.914231 34.314025, -109.907612 34.301169)"
968,408,409,3972.974506,"LINESTRING (-109.893163 34.276107, -109.875661 34.247668)"
969,409,408,3972.974506,"LINESTRING (-109.875661 34.247668, -109.893163 34.276107)"
970,410,497,397.567257,"LINESTRING (-109.9578192 34.3188382, -109.9578133 34.3223059)"
971,497,410,397.567257,"LINESTRING (-109.9578133 34.3223059, -109.9578192 34.3188382)"
972,411,412,636.0431854,"LINESTRING (-109.947473 34.258035, -109.941171 34.259807)"
973,412,411,636.0431854,"LINESTRING (-109.941171 34.259807, -109.947473 34.258035)"
974,413,414,50.51277704,"LINESTRING (-109.914728 34.315921, -109.914178 34.315923)"
975,414,413,50.51277704,"LINESTRING (-109.914178 34.315923, -109.914728 34.315921)"
976,415,386,81.5279772,"LINESTRING (-109.918103 34.24616, -109.917998 34.245432)"
977,386,415,81.5279772,"LINESTRING (-109.917998 34.245432, -109.918103 34.24616)"
978,386,380,1627.43877,"LINESTRING (-109.917998 34.245432, -109.922531 34.231755)"
979,380,386,1627.43877,"LINESTRING (-109.922531 34.231755, -109.917998 34.245432)"
980,380,416,1221.773788,"LINESTRING (-109.922531 34.231755, -109.928332 34.222489)"
981,416,380,1221.773788,"LINESTRING (-109.928332 34.222489, -109.922531 34.231755)"
982,417,418,937.2692727,"LINESTRING (-109.8932415 34.3536603, -109.8928216 34.3452394)"
983,418,417,937.2692727,"LINESTRING (-109.8928216 34.3452394, -109.8932415 34.3536603)"
984,419,388,762.8337288,"LINESTRING (-109.897468 34.330712, -109.889161 34.33079)"
985,388,419,762.8337288,"LINESTRING (-109.889161 34.33079, -109.897468 34.330712)"
986,420,421,2445.184364,"LINESTRING (-109.935239 34.268671, -109.940883 34.289539)"
987,421,420,2445.184364,"LINESTRING (-109.940883 34.289539, -109.935239 34.268671)"
988,392,422,1616.750043,"LINESTRING (-109.885787 34.240915, -109.899686 34.244789)"
989,422,392,1616.750043,"LINESTRING (-109.899686 34.244789, -109.885787 34.240915)"
990,423,424,1651.261035,"LINESTRING (-109.908854 34.345414, -109.908161 34.330582)"
991,424,423,1651.261035,"LINESTRING (-109.908161 34.330582, -109.908854 34.345414)"
992,426,381,125.9135861,"LINESTRING (-109.940398 34.257563, -109.941005 34.258547)"
993,381,426,125.9135861,"LINESTRING (-109.941005 34.258547, -109.940398 34.257563)"
994,381,412,142.1544327,"LINESTRING (-109.941005 34.258547, -109.941171 34.259807)"
995,412,381,142.1544327,"LINESTRING (-109.941171 34.259807, -109.941005 34.258547)"
996,412,427,909.3389969,"LINESTRING (-109.941171 34.259807, -109.944702 34.267022)"
997,427,412,909.3389969,"LINESTRING (-109.944702 34.267022, -109.941171 34.259807)"
998,429,430,174.3304161,"LINESTRING (-109.9565612 34.3234635, -109.9553746 34.3240762)"
999,430,429,174.3304161,"LINESTRING (-109.9553746 34.3240762, -109.9565612 34.3234635)"
1000,414,431,414.8521604,"LINESTRING (-109.914178 34.315923, -109.909661 34.315947)"
1001,431,414,414.8521604,"LINESTRING (-109.909661 34.315947, -109.914178 34.315923)"
1002,431,425,2868.026803,"LINESTRING (-109.909661 34.315947, -109.878649 34.316138)"
1003,425,431,2868.026803,"LINESTRING (-109.878649 34.316138, -109.909661 34.315947)"
1004,413,432,379.5784888,"LINESTRING (-109.914728 34.315921, -109.918843 34.315926)"
1005,432,413,379.5784888,"LINESTRING (-109.918843 34.315926, -109.914728 34.315921)"
1006,433,434,1287.958876,"LINESTRING (-109.936425 34.326666, -109.9224 34.326779)"
1007,434,433,1287.958876,"LINESTRING (-109.9224 34.326779, -109.936425 34.326666)"
1008,499,435,74.68475446,"LINESTRING (-109.9560693 34.3419279, -109.95683 34.34169)"
1009,435,499,74.68475446,"LINESTRING (-109.95683 34.34169, -109.9560693 34.3419279)"
1010,436,437,90.17863954,"LINESTRING (-109.955861 34.324763, -109.9568428 34.3247797)"
1011,437,436,90.17863954,"LINESTRING (-109.9568428 34.3247797, -109.955861 34.324763)"
1012,438,439,298.5169614,"LINESTRING (-109.909828 34.309097, -109.906578 34.309074)"
1013,439,438,298.5169614,"LINESTRING (-109.906578 34.309074, -109.909828 34.309097)"
1014,431,438,761.8757117,"LINESTRING (-109.909661 34.315947, -109.909828 34.309097)"
1015,438,431,761.8757117,"LINESTRING (-109.909828 34.309097, -109.909661 34.315947)"
1016,438,440,447.7983793,"LINESTRING (-109.909828 34.309097, -109.909869 34.30507)"
1017,440,438,447.7983793,"LINESTRING (-109.909869 34.30507, -109.909828 34.309097)"
1018,441,442,852.7481207,"LINESTRING (-109.9523684 34.312138, -109.943084 34.312079)"
1019,442,441,852.7481207,"LINESTRING (-109.943084 34.312079, -109.9523684 34.312138)"
